Client,Total_Billed_2026,Months_Billed,Avg_Monthly_Billing,HD_Tickets,HD_Hours,ITMS_Tickets,ITMS_Hours,Bunzl_Tickets,Bunzl_Hours,Total_Tickets,Total_Hours
Sharp Hue,200.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saxton Groups LLC,735.0,1.0,735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Safe-T Security,1048.45,5.0,209.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peer Coach Academy,187.5,5.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Daniel Law,629.66,5.0,125.93199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDM Specialists,425.0,5.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shaina Speaks Therapy & Coaching, INC.",2446.0,3.0,815.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SafetyMed LLC,479.7,5.0,95.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCS Management LLC,174.0,5.0,34.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"RL Technology Solutions, Inc.",126.9,5.0,25.380000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Summit Settlement Services Inc,232.26,5.0,46.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Grigg Group,272.5,5.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Financial Lady,68.26,2.0,34.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Home Team Remax Integrity,52.5,5.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thater Made,58.8,5.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Techtron Environmental Solutions,700.0,5.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syncronys,500.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toro Global Management LLC,2058.0,3.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
True Escape Marriage and Family Therapy,222.0,5.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vintage Marina,210.0,2.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upside,690.0,5.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westchester Disabled On the Move,350.0,5.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wexford County Road Commission,378.0,5.0,75.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winbridge SBF,524.0,5.0,104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wright Injury Law,672.3,5.0,134.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Young Dufford Architects LLC,265.45,5.0,53.089999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itracHealth,745.64,5.0,149.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
